Chromosome	Position
chr12	124159591
chr12	125045296
chr12	126451374
chr12	126941898
chr12	129907018
chr12	130497154
chr10	24506055
chr10	24714360
chr10	29301799
chr10	29461541
chr10	29683849
chr10	30014933
chr10	30440836
chr10	30663558
chr10	35312133
chr10	36136818
chr10	36179256
chr10	37511235
chr10	38424142
chr10	39721712
chr10	40652276
chr10	41779151
chr10	45056214
chr10	52696441
chr10	53237791
chr10	53484611
chr10	53760711
chr10	54606780
chr10	57996428
chr10	60994829
chr10	65156304
chr10	67727647
chr10	68720725
chr10	70892952
chr10	71470701
chr10	71696396
chr10	72285248
chr10	72774488
chr10	73183184
chr10	77404542
chr10	77991228
chr10	78984063
chr10	79642020
chr10	80022218
chr10	84958788
chr10	85607543
chr10	85763149
chr10	87807179
chr10	93651679
chr10	94489435
chr10	95332694
chr10	95475923
chr10	95636723
chr10	97900048
chr10	98196852
chr10	99176331
chr10	99288805
chr10	100753178
chr10	101744145
chr10	101989559
chr10	102266356
chr10	103001364
chr10	103281998
chr10	114245224
chr10	117028457
chr10	119388497
chr10	121998088
chr10	123224211
chr10	129000630
chr10	129360016
chr10	131125334
chr10	132733187
chr10	134365744
chr10	134443360
chr4	25023556
chr4	27029170
chr4	27716680
chr4	28032198
chr4	28043324
chr4	28548821
chr4	29570608
chr4	31628793
chr4	34013601
chr4	34528854
chr4	34703739
chr4	35145028
chr4	36425619
chr4	37253367
chr4	38877509
chr4	40067416
chr4	42350931
chr4	44169551
chr4	44224396
chr4	51476527
chr4	52470477
chr4	55389065
chr4	56416550
chr4	61402993
chr4	62004093
chr4	64885641
chr4	65772210
chr4	66607143
chr4	69423821
chr4	70085124
chr4	70304822
chr4	79635466
chr4	80174308
chr4	89203054
chr4	89852692
chr4	93022575
chr4	94320154
chr4	94550936
chr4	95242365
chr4	95889017
chr4	99910103
chr4	100091913
chr4	101412023
chr4	103161428
chr4	105901672
chr4	106787010
chr4	107257094
chr4	110116783
chr4	113338646
chr4	116766236
chr4	118227370
chr4	118411454
chr4	118879250
chr4	120391312
chr4	125554811
chr4	125677889
chr4	135380749
chr4	135656419
chr4	136418316
chr4	145209533
chr4	146467519
chr4	150174158
chr4	150272194
chr4	161366423
chr4	161905889
chr4	164057982
chr4	165304258
chr4	166132679
chr4	166152414
chr4	167632916
chr4	168923704
chr4	169572241
chr4	169617839
chr4	175351768
chr4	179958346
chr4	180559195
chr4	180797518
chr4	181301741
chr4	181805447
chr4	182811503
chr4	182914722
chr4	183523915
chr3	140121290
chr3	146144113
chr3	155798938
chr3	156067870
chr3	156394907
chr3	157448012
chr3	158734469
chr3	158966806
chr3	159071906
chr3	159127583
chr3	159656733
chr3	162089408
chr3	165687588
chr3	166317118
chr3	166907447
chr3	170590156
chr3	172085014
chr3	175538316
chr3	176750939
chr3	176870341
chr3	180159533
chr3	184715438
chr3	185004263
chr3	187059719
chr3	187914809
chr3	187919508
chr3	188475502
chr3	189346911
chr3	189631683
chr3	190424615
chr3	190846523
chr3	191100656
chr3	191158891
chr3	191628707
chr3	192712054
chr3	192984825
chr3	194353306
chr3	194571210
chr3	197562742
chr8	31752584
chr8	32760399
chr8	38596630
chr8	43917971
chr8	45094282
chr8	47560520
chr8	50259415
chr8	50579315
chr8	53272727
chr8	59202925
chr8	59230670
chr8	62517283
chr8	63225662
chr8	64421983
chr8	65380095
chr8	67576612
chr8	68130620
chr8	68668098
chr8	69972240
chr8	70766792
chr8	72863943
chr8	73132091
chr8	83286293
chr8	87184788
chr8	90139926
chr8	92505345
chr8	93487518
chr8	100104220
chr8	100671068
chr8	102596682
chr8	105732936
chr8	108255499
chr8	110220005
chr8	110509379
chr8	113215662
chr8	114126622
chr8	115030793
chr8	116111623
chr8	119608373
chr8	124971309
