Chromosome	Position
chr12	71851805
chr12	72747627
chr12	73466848
chr12	73894450
chr12	75475841
chr12	78109617
chr12	80370992
chr12	81585223
chr12	83517694
chr12	83795308
chr12	84187536
chr12	84495165
chr12	88506894
chr12	89794757
chr12	92783818
chr12	94049113
chr12	94349107
chr12	97769829
chr12	102359636
chr12	102790478
chr12	105911410
chr12	106081662
chr12	107474560
chr12	107760658
chr12	108161256
chr12	122287617
chr12	123239355
chr12	128862051
chr12	129381292
chr12	133115814
chr10	53042044
chr10	53059661
chr10	53090403
chr10	59421816
chr10	59466755
chr10	63194653
chr10	63663094
chr10	64344736
chr10	64967376
chr10	65339496
chr10	65988938
chr10	66934350
chr10	67698343
chr10	68612821
chr10	69616017
chr10	70944629
chr10	75016477
chr10	81668037
chr10	82735454
chr10	83978274
chr10	85134864
chr10	85580532
chr10	86309048
chr10	92790513
chr10	92936692
chr10	94543985
chr10	96458880
chr10	99123196
chr10	102583430
chr10	105268754
chr10	105318363
chr10	105611338
chr10	106932902
chr10	108538049
chr10	109027412
chr10	109422434
chr10	109516121
chr10	113496362
chr10	113657074
chr10	113658727
chr10	114595709
chr10	115666568
chr10	116759624
chr10	119743640
chr10	122128070
chr10	125705964
chr10	132830735
chr10	133281567
chr10	134602170
chr10	135241845
chr4	25023556
chr4	25073579
chr4	25471397
chr4	26281261
chr4	32769772
chr4	32894287
chr4	34091484
chr4	35044615
chr4	36163833
chr4	36516208
chr4	46976088
chr4	47522573
chr4	48016149
chr4	54123841
chr4	54143096
chr4	61789105
chr4	63073817
chr4	63074647
chr4	63701897
chr4	64877827
chr4	66248401
chr4	67000876
chr4	69342951
chr4	71352158
chr4	73795784
chr4	75517265
chr4	75616154
chr4	76179887
chr4	77446516
chr4	78117574
chr4	80084286
chr4	80715064
chr4	81052968
chr4	81304317
chr4	82004478
chr4	82570894
chr4	87315381
chr4	88270352
chr4	98582082
chr4	98685310
chr4	98797025
chr4	99645110
chr4	101501653
chr4	102011607
chr4	103876777
chr4	104993867
chr4	105439722
chr4	106392439
chr4	106529153
chr4	106993171
chr4	107086131
chr4	107297481
chr4	107949181
chr4	108323102
chr4	108928180
chr4	109289382
chr4	111512443
chr4	113130253
chr4	113928950
chr4	114178629
chr4	114913019
chr4	115858521
chr4	116140221
chr4	117589120
chr4	118108768
chr4	118961559
chr4	119329060
chr4	120304214
chr4	125521583
chr4	126249143
chr4	128234928
chr4	131054746
